Wall time,Step,Value
1746366479.0045784,40960,0.28944337368011475
1746366680.9146905,147456,0.8861962556838989
1746366775.1464796,196608,0.3839905858039856
1746367025.5736346,327680,0.29641735553741455
1746367056.2007585,344064,0.23955249786376953
1746367102.405989,368640,0.1990865170955658
1746367227.8367655,434176,0.24053171277046204
1746367273.8969486,458752,0.25820237398147583
1746367510.3893561,581632,0.5450698137283325
1746367556.6952927,606208,0.2934434711933136
1746367870.1577075,770048,0.20974969863891602
1746367995.9882634,835584,0.17213168740272522
1746368057.8265033,868352,0.17893986403942108
1746368372.1043594,1032192,0.4059380292892456
1746368575.7578282,1138688,0.16764423251152039
1746368751.227178,1228800,0.38536205887794495
1746368828.706427,1269760,0.146821528673172
1746368875.2211254,1294336,0.3748731017112732
1746369017.0809116,1368064,0.3577280044555664
1746369189.9728022,1458176,0.3982289433479309
1746369269.7950218,1499136,0.18800851702690125
1746369300.6735058,1515520,0.1534751057624817
1746369316.144466,1523712,0.4362940788269043
1746369380.6215215,1556480,0.743410587310791
1746369504.3703723,1622016,0.5008672475814819
1746369646.3090882,1695744,0.5053802728652954
1746369899.3311243,1826816,0.17117975652217865
1746369992.6176486,1875968,0.5617622137069702
1746370072.5010526,1916928,0.47460782527923584
1746370307.3379083,2039808,0.560985803604126
1746370403.3088377,2088960,0.5273264646530151
1746370483.2549975,2129920,0.5201337933540344
1746370591.4806473,2187264,0.24328309297561646
1746370656.277615,2220032,0.4760148823261261
1746370687.3963141,2236416,0.5860234498977661
1746370987.2733643,2392064,0.21780970692634583
1746371064.7376225,2433024,0.47874534130096436
1746371160.5116227,2482176,0.22891771793365479
1746371238.1766431,2523136,0.5679273009300232
1746371271.9890397,2539520,0.5298867225646973
1746371396.0394018,2605056,0.5170480012893677
1746371587.3753633,2703360,0.30579137802124023
1746371726.777674,2777088,0.5983102917671204
1746371853.5286767,2842624,0.24206548929214478
1746372106.6568599,2973696,0.5941140651702881
1746372168.6290846,3006464,0.2778068482875824
1746372326.192535,3088384,0.5916582345962524
1746373021.0993445,3448832,0.21044263243675232
1746373036.5763922,3457024,0.21842709183692932
1746373302.3881855,3596288,0.23028288781642914
1746373335.9359212,3612672,0.31780266761779785
1746373351.4094234,3620864,0.25153297185897827
1746373397.9002502,3645440,0.6553663611412048
1746373636.121175,3768320,0.2721096873283386
1746373682.6103017,3792896,0.2430448830127716
1746373698.0647826,3801088,0.6250255107879639
1746373855.5666885,3883008,0.6892279386520386
1746374124.805022,4022272,0.22580422461032867
1746374155.7122767,4038656,0.7118667364120483
1746374487.4372435,4210688,0.30034005641937256
1746374533.9271035,4235264,0.24799907207489014
1746374660.8470957,4300800,0.21402184665203094
1746374756.3968468,4349952,0.4309588074684143
1746374787.4092429,4366336,0.3156709671020508
1746374833.8508737,4390912,0.32428258657455444
1746374929.4591534,4440064,0.2906542718410492
1746375007.1833165,4481024,0.7638190388679504
1746375164.912982,4562944,0.7628829479217529
1746375260.757925,4612096,0.8604530096054077
1746375418.6430993,4694016,0.35229188203811646
1746375511.8720334,4743168,0.6794031262397766
1746375545.5879169,4759552,0.3118389844894409
1746375623.157772,4800512,0.6892932653427124
1746375638.7440765,4808704,0.29281681776046753
1746375877.1620603,4931584,0.9483498334884644
1746376162.5225484,5079040,0.7277927398681641
1746376193.5685081,5095424,0.28361669182777405
1746376382.827058,5193728,0.3163617253303528
1746376494.6686876,5251072,0.9491407871246338
1746376510.1770074,5259264,0.3102548122406006
1746376541.179756,5275648,0.917437732219696
1746376587.7584555,5300224,0.3778320252895355
1746376618.748412,5316608,0.45194298028945923
1746376810.118142,5414912,0.41470110416412354
1746376918.4460483,5472256,0.8965951204299927
1746376967.5763159,5496832,0.3778083920478821
1746377014.328366,5521408,0.5689083337783813
1746377156.8452263,5595136,0.90097975730896
1746377234.604927,5636096,0.7621978521347046
1746377647.0987902,5849088,0.8976293206214905
1746377709.273726,5881856,0.2860103249549866
1746377774.3389552,5914624,0.4183357357978821
1746377789.896912,5922816,0.8946198225021362
1746377901.2684076,5980160,0.35762715339660645
1746378041.2231953,6053888,0.4533606171607971
1746378106.1316338,6086656,0.7852979302406311
1746378168.4727824,6119424,0.3706137537956238
1746378249.006638,6160384,0.3922513425350189
1746378311.155119,6193152,0.8314672708511353
1746378454.109455,6266880,0.7057152390480042
1746378516.4838471,6299648,0.3303285241127014
1746378534.6192791,6307840,0.8477208614349365
1746378550.25953,6316032,0.8324205875396729
1746378581.240889,6332416,1.1792304515838623
1746378692.896632,6389760,0.775688886642456
1746378770.6888018,6430720,0.8666611909866333
1746378801.7337584,6447104,1.0467100143432617
1746378882.5661879,6488064,0.8204646110534668
1746378913.6151075,6504448,0.2686377465724945
1746378976.1737685,6537216,1.040147066116333
1746379041.1140594,6569984,0.3232802152633667
1746379134.385126,6619136,0.9180500507354736
1746379150.0175757,6627328,0.2521708905696869
1746379516.1052287,6815744,0.9395395517349243
1746379578.3213797,6848512,0.31011903285980225
1746380100.1523337,7118848,0.2990086078643799
1746380180.256955,7159808,1.1976876258850098
1746380211.2852585,7176192,0.41559866070747375
1746380307.2771385,7225344,0.3921395540237427
1746380434.5748925,7290880,0.2739053964614868
1746380527.7723477,7340032,0.324397474527359
1746380592.5712595,7372800,0.40743809938430786
1746380702.1630032,7430144,0.7131138443946838
1746380733.463333,7446528,0.8804850578308105
1746380829.1928182,7495680,0.365278959274292
1746380860.2871356,7512064,0.34529048204421997
1746381083.4559515,7626752,0.3178735375404358
1746381098.9894454,7634944,1.1992740631103516
1746381257.5989573,7716864,1.3555898666381836
1746381304.1659658,7741440,0.5544783473014832
1746381446.8032503,7815168,0.8240879774093628
1746381509.0435402,7847936,0.9468927979469299
1746381573.7277396,7880704,0.29577067494392395
1746381716.6979315,7954432,0.30581289529800415
1746381732.3140285,7962624,0.29924020171165466
1746381825.6239798,8011776,0.8676614165306091
1746381841.1960921,8019968,0.29998600482940674
1746381921.6111095,8060928,0.2991262674331665
1746382110.557448,8159232,0.5120887756347656
1746382206.464906,8208384,0.39887338876724243
1746382253.067038,8232960,0.9344174861907959
1746382395.8090014,8306688,0.8651912212371826
1746382442.5475578,8331264,0.9985950589179993
1746382569.6848423,8396800,0.37253546714782715
1746382758.7344024,8495104,0.929356038570404
1746382870.4837856,8552448,0.3181869089603424
1746383075.3793795,8658944,0.3172953128814697
1746383171.4855874,8708096,0.28983578085899353
1746383218.210197,8732672,0.3260456919670105
1746383249.4180236,8749056,0.38318514823913574
1746383314.1452615,8781824,0.8873639106750488
1746383376.3970923,8814592,0.34216779470443726
1746383407.4498289,8830976,0.945935070514679
1746383487.80626,8871936,0.874599814414978
1746383503.3280241,8880128,0.3123278021812439
1746383646.2560568,8953856,0.8588817119598389
1746383739.831117,9003008,0.8736992478370667
1746383804.4887908,9035776,1.1091762781143188
1746383820.0044825,9043968,0.3113093674182892
1746383978.0004292,9125888,0.2878205180168152
1746384055.7140017,9166848,0.9182875156402588
1746384278.8034844,9281536,0.33667534589767456
1746384642.0093307,9469952,0.34395813941955566
1746384707.012808,9502720,1.3729119300842285
1746384722.6448326,9510912,1.2428805828094482
1746384738.448847,9519104,0.4327198266983032
1746385025.019869,9666560,0.9213589429855347
1746385214.246113,9764864,0.33371424674987793
1746385229.8470016,9773056,0.31733378767967224
1746385323.0167956,9822208,0.9989771842956543
1746385434.932979,9879552,0.8326454758644104
